旧值	新值	频率
带宽=百万TEU	标注数值	1
带宽=百万人	标注数值	1
带宽=百万桶/日	标注数值	1
带宽=百万桶/日，标注关键海峡	标注数值	1
带宽=百亿/月	标注数值	1
带宽=百亿元，标注企业数	标注数值	1
带宽=碳排放吨数，标注供应链环节	标注阶段	1
带宽=碳排放吨数，标注环节名	标注阶段	1
带宽=立方公里/年	标注数值	1
带宽=细胞比例，标注标志物	标注占比	2
带宽=论文/专利数	标注数值	1
带宽=资金量，标注渠道名	标注效率	1
带宽=通勤人数百万，标注占比	标注金额占比	1
带宽度=人数，标注来源和目的地	标注数值	1
幂律指数标注	标注评分	1
干预措施标注	标注事件	2
平台名+定位	标注数值	1
平台名+百分比	标注占比	1
平台名称	标注数值	1
年代+岩性标注右侧	标注位置	1
年份+面积	标注数值	1
年份标注	标注数值	1
年份标注螺旋	标注数值	1
年度标总额	标注数值	1
年数标注段内	标注位置	1
年龄标注	标注数值	1
年龄标注纵轴	标注数值	1
年龄段标注	标注数值	1
年龄组+人口	标注数值	1
并列小提琴，共享	其他标注	1
并排双箱体，y	其他标注	1
广告名标注	标注实体名	1
应用+价值	标注效率	1
应用名+类别	标注数值	1
应用名标注	标注实体名	1
底部写趋势描述	标注趋势特征	1
底部写趋势描述，顶部写数据来源	标注趋势特征	1
底部时间线标注关键事件	标注事件	1
底部标	标注数值	1
底部标城市和变暖幅度	标注实体名	1
底部标年和全球平均温度变化	标注参考线	1
底部标推荐结论	标注驱动因素	1
底部标数据来源和比例	标注占比	1
底部标注总数和来源	其他标注	1
底部标结论	标注驱动因素	1
底部标维度名和范围	标注维度评分	1
延寿%+证据等级	标注占比	1
延寿幅度+证据等级	标注评分	1
建筑名+象限	标注象限策略	1
建筑名标注	标注实体名	1
建筑标业务名	标注数值	1
建筑类型	标注数值	1
开发者数+增速	标注增长率	1
异常值旁边写人物故事	其他标注	1
异常值标注	标注数值	1
异常值标注图例	标注位置	1
异常标注	标注数值	1
异常点标注	标注数值	1
弦上标协作量	标注数值	1
弧上标合作类型	其他标注	1
弧上标影响方向	其他标注	1
当前	标注数值	1
当前值+历史均值标注	其他标注	1
当前值+目标标注	其他标注	3
影响幅度+排名	标注排名	1
影响幅度标注	标注数值	1
得分+增速	标注增长率	1
得分+模型	标注评分	1
得分标注	标注评分	3
得分标注顶点	标注评分	1
恒星类型	标注数值	1
恢复率标注面积内	标注位置	1
患者ID+变化%	标注占比	3
情感标注	标注数值	1
情景+能源构成	其他标注	1
情景名+峰值	标注趋势特征	1
情景名+描述	标注数值	1
情景名+策略	标注象限策略	1
情景名标注	标注实体名	2
情景名标注图例	标注实体名	2
情景名称标注	标注数值	1
情绪曲线标峰值和谷底，底部标阶段名	标注阶段	1
意向评分标注	标注评分	1
感染率+人群	标注数值	1
成效评分+排名	标注排名	1
成本+同比增长	标注增长率	1
成本+时效	标注数值	1
成本+范围区间	其他标注	1
成本值标注	标注数值	2
成本标注条端	标注数值	1
成本标注柱	标注数值	5
成本标注柱顶	标注数值	1
成本标注线端	标注数值	1
成本段内标注	标注数值	1
成本项+金额	标注因素金额	5
成熟度标注	标注评分	1
成熟度标注段内	标注位置	1
房间标活动+人	其他标注	1
扇区上标月份和金额	标注数值	1
扇区内标原因	标注驱动因素	1
扇形边界标置信区间（80%/95%），中线标预测值	标注占比	1
扇标方向+比例	标注占比	1
手写关键词	标注数值	1
手写标注原因	标注驱动因素	1
手法名+作品	标注数值	1
扣减%标注柱	标注占比	1
扣减值标注柱	标注数值	2
扣减标注柱	标注数值	1
扩张/收缩区间填充	其他标注	1
承运商名+线路	其他标注	1
技术+使用率	标注占比	1
技术+减排量	标注数值	1
技术+成本/吨	其他标注	1
技术+成熟度标注	标注评分	1
技术+采用率	标注占比	1
技术/政策标注	标注事件	1
技术名+影响	标注实体名	1
技术名+装机	标注实体名	1
技术名+阶段	标注阶段	2
技术名标注	标注实体名	3
技术名标注位置	标注实体名	1
技术名标注点旁	标注实体名	1
技术名标注阶梯	标注实体名	1
技术名标注面积内	标注实体名	1
技术名称	标注实体名	3
技术标注	标注数值	1
技术标注外围	标注数值	1
技术版本标注	标注数值	1
技术突破标注	标注数值	1
技术路线	标注数值	1
技术里程碑标注	标注阶段	1
投注额+占比	标注金额占比	1
投票率标注	标注数值	1
投资标注面积内	标注位置	1
折叠阶段标注	标注阶段	1
折扣率标注	标注数值	1
拍品名标注溢价点	标注实体名	1
拐点写原因	标注驱动因素	1
拐点年份+原因标注	标注驱动因素	1
拐点标事件	标注事件	5
拐点标交付数	标注趋势特征	1
拐点标产业事件	标注事件	1
拐点标产品发布	标注趋势特征	1
拐点标原因	标注驱动因素	2
拐点标注事件名（裁员/扩张），柱顶标营收	标注事件	1
拱标协作项目	标注数值	1
拼图块标能力名	其他标注	1
指数+年度变化	标注增长率	1
指数+排名	标注排名	1
指数+排名变化	标注排名	1
指数标注	标注评分	7
指数标注柱端	标注评分	1
指数标注线端	标注评分	1
指数标注顶点	标注评分	1
指标名+p值	标注数值	1
指标名+差异	标注差异	1
指标标注	标注数值	7
指标标注图例	标注位置	1
指针标当前分数，底部标等级	标注评分	1
按	标注数值	1
按严格度分组排列	标注象限策略	1
按代际分面，标注中位满意度	标注参考线	1
按占比排序，标注原因和百分比	标注占比	1
按占比排序，标注行业名	标注占比	1
按参与率排序，标注代际名	其他标注	1
按城市总收入排序	标注实体名	1
按总入学率排序，标注国家名	标注实体名	1
按支持率排序，标注国家名	标注实体名	1
按旅程阶段排列，标注痛点和	标注阶段	1
按降幅排序，标注品类名	标注因素金额	1
损失原因+幅度	标注驱动因素	1
损失百分比标注	标注占比	1
损失金额标注	标注数值	1
损失额+件数	标注数值	1
损耗百分比标注	标注占比	1
损耗量+百分比标注	标注占比	1
损耗量标注	标注数值	1
排名变化标注点旁	标注排名	1
排名标注点旁	标注排名	1
排放标注带内	标注位置	1
排放率标注	标注数值	2
排放量标注	标注数值	1
排行+同比变化	标注增长率	1
接入率标注柱顶	其他标注	1
措施+节约额	标注数值	1
措施名+减排量	其他标注	1
提交数+贡献者	其他标注	1
提升值标注	标注数值	1
提升百分比标注线上	标注评分	1
提及率标注	标注数值	1
搜索结果卡片内嵌迷你图	其他标注	1
搜索量标注	标注数值	2
播放量标注	标注数值	1
支出额+占IT比	其他标注	1
支出额+排名	标注排名	1
支点标杠杆因素	标注驱动因素	1
收入+占比标注	标注金额占比	1
收入+增速	标注规模增速	1
收入层标注	标注阶段	2
收入类型	标注数值	1
收入额+增速	标注规模增速	1
收入额+增长率	标注规模增速	1
收益%标注格内	标注占比	1
收益率+利差	标注效率	1
收益率标注	标注效率	2
政策事件标注	标注事件	2
政策节点+目标线	标注事件	1
政策节点标注	标注事件	1
效果量+置信区间	其他标注	1
效率%+类型	标注占比	1
效率标注	标注效率	1
敏感度标注	标注数值	1
教育标注面积内	标注位置	1
散点上覆盖人物头像/名字	其他标注	1
散点图，X轴=防守效率，Y轴=进攻效率，虚线十字分割四象限	标注象限策略	1
散点图，x	标注数值	1
散点标名字，趋势线标相关系数	标注趋势特征	1
敬业度+年度变化	标注增长率	1
数值+全国平均线	标注参考线	1
数值标注	标注数值	3
数据标注	标注数值	1
数据标注创意元素内	其他标注	1
数据类型标注	标注数值	1
数据量标注	标注数值	1
数量+占比	标注金额占比	3
数量+占比标注	标注金额占比	1
数量+增速	标注规模增速	1
数量+相干时间	标注数值	1
数量+类别	标注数值	1
数量+红移范围	标注数值	1
数量+质量评分	标注评分	1
数量+金额标注	标注数值	1
数量+阶段	标注阶段	1
数量标注气泡	标注数值	1
文章类型标签	标注数值	1
方向标来源	标注数值	1
方向标注面积内	标注位置	1
方式名标注段内	标注实体名	1
方案名+公司	标注数值	1
方案名+指标	标注数值	1
方法+数量	标注数值	1
方法名+RMSD	其他标注	1
方法版本标注	标注数值	1
方阵网格，行=真实，列=预测	其他标注	1
旅客量标注	标注数值	1
日期+倍数	标注效率	1
日期+活动量	标注数值	1
日期标注节点	标注阶段	1
时刻标活动	标注数值	1
时期标注	标注阶段	2
时机标注汇合处	其他标注	1
时段标注	标注数值	1
时段标签+占比	标注占比	1
时间+价值标注	标注效率	1
时间+年份	标注数值	1
时间指标标注	标注数值	1
时间标注	标注数值	1
时间标注各线	标注数值	1
时间标注节点	标注阶段	1
时间标注路径上	标注阶段	1
时间线标注关键事件	标注事件	1
时间线标注关键州结果公布时刻	其他标注	1
时间轴	标注数值	1
时间轴+中心线+上下包络	其他标注	1
时间轴x轴，百分比y轴，层叠至100%	标注占比	1
时间轴折线，末端标签，间差填充	其他标注	1
时间轴标测量点，Y	其他标注	1
时间轴蜡烛	标注数值	1
明星象限饱和深蓝，瘦狗用灰色	标注象限策略	1
星号标注(p<0.05/0.01/0.001)	其他标注	1
星座+天文台	标注数值	1
星座名标注	标注实体名	1
显著位点标注基因名	其他标注	1
普及率+增速	标注增长率	1
普及率+技术	标注数值	1
晶面标注峰顶	标注数值	1
智库名标注	标注实体名	1
曲线上方标注技术名，顶部标阶段名	标注阶段	1
曲线末端标技术名和采用率%，标注阶段名	标注占比	1
曲线标斜率（学习率），关键点写里程碑	标注阶段	1
最低值写行动建议	标注驱动因素	1
最大差异柱用红色高亮	标注差异	1
最高增速国用红色点，其余蓝色	标注增长率	1
月份标注左侧，x	其他标注	1
月标总活跃	标注数值	1
服务+占比	标注占比	1
期限标注	标注数值	1
末端写贡献值	标注数值	1
末端标注城市名	标注实体名	1
末端标注实际%	标注占比	1
机会名标注	标注实体名	1
机场代码+班次	其他标注	1
机型+制造商	标注数值	1
机构名+数量	标注数值	1
机构名标注	标注实体名	1
机构标注面积内	标注位置	1
材料+流量	标注数值	1
材料名+象限	标注象限策略	2
材料名称	标注实体名	3
杠杆+提升额	标注数值	1
条上标里程碑名	标注阶段	1
条内写类别名，末端写数值	标注数值	1
条内标厂商名和占比%，顶部标年度变化	标注增长率	1
条宽标	标注数值	1
条宽标市场体量，分段标注品类占比	标注占比	1
条形内标	标注数值	1
条形内标份额百分比	标注金额占比	1
条形内标优势门类名	其他标注	1
条形内标收入值	其他标注	1
条形右侧标注患者引用	其他标注	1
条形旁标注排名和观看时长	标注排名	1
条形旁标注词义解释	其他标注	1
条形旁标百分比和排名变化	标注排名	1
条形旁标评分和排名变化	标注排名	1
条形标词频和时代标签，对比差异标注	标注差异	1
条形顶标注误差线和字母标记	其他标注	1
条形顶标误差线和显著性星号	标注评分	1
条标政策名	标注事件	1
条标里程碑	标注阶段	1
条端标国名，零线标"平衡点"	标注参考线	1
条端标支持率%和误差范围，底部标样本量	标注占比	1
条端标百分比，零线标"中立"	标注占比	1
条约名+影响	标注数值	1
来源+占比	标注占比	2
来源+去向	标注数值	1
来源+目的地	标注数值	1
来源+缺口量	标注差异	1
来源+金额	标注因素金额	5
来源+项目	标注数值	1
来源→用户	标注数值	1
来源→项目	标注数值	1
来源占比	标注占比	1
板块名标注	标注实体名	1
板块标注面积内	标注位置	1
